Date,Station_ID,Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,TA,DIC,Depth,CTDTEMP_ITS90,Salinity_PSS78
1988-05-03,090.0 090.0,1988,5,3,31.4179,-121.99,2216,1992.3333333333333,16,NA,33.16133333333333
1988-05-04,090.0 070.0,1988,5,4,32.0846,-120.6387,2220.633333333333,1996.5333333333333,11,NA,33.30233333333333
1988-08-12,090.0 120.0,1988,8,12,30.4179,-123.9989,2215.5666666666666,1982.1,11,NA,33.12466666666667
1988-08-13,090.0 090.0,1988,8,13,31.4179,-121.99,2226.5,1987.8666666666668,11,NA,33.29666666666667
1988-08-14,090.0 070.0,1988,8,14,32.0846,-120.6387,2222.9,1985.3,11,NA,33.28
1988-10-14,090.0 120.0,1988,10,14,30.4179,-123.9989,2216.233333333333,1980.8666666666668,17,NA,33.123
1988-10-15,090.0 090.0,1988,10,15,31.4179,-121.99,NA,NA,11,NA,NA
1988-10-16,090.0 070.0,1988,10,16,32.0846,-120.6387,2231.133333333333,1986.0333333333333,13,NA,33.38333333333333
1989-01-23,090.0 120.0,1989,1,23,30.4179,-123.9989,2231.6499999999996,1993.5,10,NA,33.387
1989-01-24,090.0 090.0,1989,1,24,31.4179,-121.99,2218.7,1994.6,10,NA,33.2195
1989-01-24,090.0 120.0,1989,1,24,30.4179,-123.9989,2231.7,1993.5,10,15.44,33.387
1989-01-25,090.0 070.0,1989,1,25,32.0846,-120.6387,2230.8,2004.3,10,NA,33.3985
1989-01-25,090.0 090.0,1989,1,25,31.4179,-121.99,2218.7,1994.6,10,13.6,33.22
1989-01-26,090.0 070.0,1989,1,26,32.0846,-120.6387,2230.8,2004.3,10,13.48,33.398
1989-04-19,090.0 120.0,1989,4,19,30.4179,-123.9989,2241.25,1999.65,10,NA,33.582499999999996
1989-04-20,090.0 090.0,1989,4,20,31.4179,-121.99,2223.3,1998.9499999999998,10,NA,33.325500000000005
1989-04-20,090.0 120.0,1989,4,20,30.4179,-123.9989,2241.2,1999.6,10,17.5,33.583
1989-04-21,090.0 070.0,1989,4,21,32.0846,-120.6387,2222.4,1995.65,10,NA,33.284
1989-04-21,090.0 090.0,1989,4,21,31.4179,-121.99,2223.3,1999,10,15.85,33.326
1989-04-22,090.0 070.0,1989,4,22,32.0846,-120.6387,2222.4,1995.7,10,15.23,33.284
1989-11-10,090.0 090.0,1989,11,10,31.4179,-121.99,2241.1,1990.15,10,NA,33.480999999999995
1989-11-10,090.0 120.0,1989,11,10,30.4179,-123.9989,2252.1499999999996,1993.1,10,NA,33.708
1989-11-11,090.0 070.0,1989,11,11,32.0846,-120.6387,NA,NA,10,NA,NA
